row,name_kr,stage,verdict,new_stage,evidence,source_url
306,아이딩,Seed,no_info,,,
327,텐덤,Pre-A,unchanged,,,
332,키위스튜디오,Seed,unchanged,,,
342,마이팝엠에프지,알 수 없음,no_info,,,
344,크레이버코퍼레이션,Series C,ambiguous,,record shows Series C but source lists only Series B (2018),
357,사업노트,Seed,no_info,,,
376,디비디랩,Pre-A,changed,Series A,"2025-11 시리즈A 라운드 시동, 9억 목표, thebell",https://m.thebell.co.kr/m/newsview.asp?svccode=&newskey=202511030737375780108954
379,티엠알파운더스,Pre-A,unchanged,,,
382,엔닷라이트,Series A,unchanged,,,
385,이명수디자인랩,Seed,unchanged,,,
386,클래스101,Series C,unchanged,,,
387,공부선배,Series B,changed,Series C,"2023년 140억 시리즈C 투자유치, 8개 기관 참여, 네이트뉴스",https://news.nate.com/view/20230618n02906
388,클라썸,Series B,unchanged,,,
391,멋쟁이사자처럼,Series A,unchanged,,,
392,클래스유,Series A,unchanged,,,
400,텔라,Seed,unchanged,,,
413,에그번에듀케이션,Pre-A,unchanged,,,
414,포인블랙,Pre-A,unchanged,,,
423,셈웨어,알 수 없음,no_info,,,
424,태그하이브,알 수 없음,changed,Series A,포레스트파트너스로부터 30억 Series A 투자 유치,https://forestgp.com/ko/%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B8%ED%8C%8C%ED%8A%B8%EB%84%88%EC%8A%A4-%EC%97%90%EB%93%80%ED%85%8C%ED%81%AC-%ED%83%9C%EA%B7%B8%ED%95%98%EC%9D%B4%EB%B8%8C-30%EC%96%B5-%ED%88%AC%EC%9E%90/
425,Jr코딩연구소,알 수 없음,changed,Seed,"2018 인포뱅크 시드투자, 現 넥스트러너스로 사명변경",https://platum.kr/archives/101650
429,공공의주방,Series A,unchanged,,,
433,두브레인,Series B,unchanged,,,
454,두잇스튜디오,Seed,no_info,,,
464,이젤,Pre-A,unchanged,,,
1267,리옵스,Pre-A,unchanged,,,
1275,오모로봇,알 수 없음,no_info,,,
1280,dConstruct Technologies,알 수 없음,no_info,,,
1288,에어스,Series A,unchanged,,,
1294,엔클라이언,Seed,no_info,,,
1295,에이비알,Pre-A,unchanged,,,
1307,와탭랩스,Series B,unchanged,,,
1308,마드라스체크,Series B,unchanged,,,
1321,유펜솔루션,Seed,no_info,,,
1322,도다마인드,Seed,unchanged,,,
1323,핸들리,Seed,no_info,,,
1358,비엠엘,알 수 없음,no_info,,,
1359,원더무브,알 수 없음,changed,Seed,"인포뱅크서 Seed 투자유치, 2021 TIPS 선정 확인",https://thevc.kr/wondermove
1368,리나소프트,알 수 없음,no_info,,,
1369,BetterData,Seed,unchanged,,,
1371,에이에프아이,Series A,unchanged,,,
1377,TammyAI,,no_info,,,
1381,투블루,Seed,unchanged,,,
1391,유비스랩,Pre-A,unchanged,,,
1394,마이플레이컴퍼니,Series A,unchanged,,,
1397,리얼디자인테크,Seed,changed,Pre-A,2025-06 마그나인베스트먼트·상상이비즈서 프리A 투자유치,https://www.unicornfactory.co.kr/article/2025061617022572623
1405,스칼라데이터,Series A,unchanged,,,
1406,쉐코,Series A,unchanged,,,
1407,올수,Series A,ambiguous,,"THE VC lists latest round as Pre-A, conflicts with recorded Series A",
1414,씨이비비과학,Seed,unchanged,,,
