행,국문 회사명,기존 스테이지,최신 스테이지,반영 여부,신뢰도,근거,출처 URL,비고
4,엔씽,Series B,Series C,반영(교차 검증 완료),medium,"2025.4 기사 기준 시리즈C까지 누적투자금 381억원 이상 유치, 2026.3 삼성벤처투자 전략적 투자 유치 (아시아타임즈/플래텀)",https://www.asiatime.co.kr/article/20250425500001,2건 독립 검색으로 시리즈C 교차 확인
5,캐비지,Series A,Pre-A,미반영(근거 부족),medium,"2023.7 프리시리즈A 19억 유치 후 2024.5, 2025.1 프리A 추가 투자로 누적 38억 (THE VC/와우테일)",https://thevc.kr/cabbage,THE VC 기준 최근 단계 Pre-A. 일부 자료(법률사무소 사유)는 동일 라운드를 시리즈A로 표기 — 기존 기재 Series A는 과대 기재 가능성
6,메텍홀딩스,Series A,Series A,변경 없음,low,확인 불가,https://thevc.kr/metechholdings,2025년 보도 기준 시리즈A는 '상반기 유치 계획' 단계로 실제 클로징 기사 미확인. 2025.3 유라이크코리아 지분 51% 인수 등 활발히 사업 중
10,스트레인지플래닛,Seed,Seed,변경 없음,medium,"THE VC 기준 투자 유치 1건, 최근 단계 Seed (프라이머 시드 투자, 2023)",https://thevc.kr/strangeplanet,2023.9 프라이머 데모데이 이후 Pre-A 유치 추진 언급 있었으나 클로징 확인 안 됨
11,농업회사법인 머쉬앤,Seed,Seed,변경 없음,medium,THE VC 기준 투자 라운드 2건 모두 Seed 단계 (2024년경),https://thevc.kr/mushn,"2025 Future Food Asia Top10 선정, 해외 투자 유치 추진 중"
17,꽃팜,Pre-A,Pre-A,변경 없음,medium,"2021.7 15억 규모 프리A 투자 유치 (플래텀), 이후 신규 라운드 보도 확인 안 됨",https://platum.kr/archives/149722,
18,목장커머스,,알 수 없음,미반영(근거 부족),low,확인 불가,,"2017 플래텀 인터뷰 외 투자 유치 관련 정보 없음, 최근 활동 확인 불가"
19,파이프트리스마트팜,Series A,Series A,변경 없음,high,"THE VC 기준 투자 유치 5건, 최근 단계 Series A, 총 21억원 이상 (투자자 4개사, 그린랩스 전략투자 포함)",https://thevc.kr/paiptreesmartfarm,
20,클라이밋,Seed,Seed,변경 없음,low,확인 불가,,climeet 관련 신규 투자 보도 검색되지 않음. 동명 기관(임팩트클라이밋 등)과 혼동 주의
23,팜커넥트,Pre-A,Pre-A,변경 없음,low,"ETRI홀딩스 기술출자·투자, 누적 투자금 3억원 확인되나 라운드 단계 명시 자료 없음 (넥스트유니콘)",https://thevc.kr/farmconnect,2024 이후 신규 라운드 보도 확인 안 됨
